"Area","MTU","Biomass  - Actual Aggregated [MW]","Fossil Brown coal/Lignite  - Actual Aggregated [MW]","Fossil Coal-derived gas  - Actual Aggregated [MW]","Fossil Gas  - Actual Aggregated [MW]","Fossil Hard coal  - Actual Aggregated [MW]","Fossil Oil  - Actual Aggregated [MW]","Fossil Oil shale  - Actual Aggregated [MW]","Fossil Peat  - Actual Aggregated [MW]","Geothermal  - Actual Aggregated [MW]","Hydro Pumped Storage  - Actual Aggregated [MW]","Hydro Pumped Storage  - Actual Consumption [MW]","Hydro Run-of-river and poundage  - Actual Aggregated [MW]","Hydro Water Reservoir  - Actual Aggregated [MW]","Marine  - Actual Aggregated [MW]","Nuclear  - Actual Aggregated [MW]","Other  - Actual Aggregated [MW]","Other renewable  - Actual Aggregated [MW]","Solar  - Actual Aggregated [MW]","Waste  - Actual Aggregated [MW]","Wind Offshore  - Actual Aggregated [MW]","Wind Onshore  - Actual Aggregated [MW]"
"BZN|GB","03.01.2021 00:00 - 03.01.2021 00:30 (UTC)","2350","n/e","n/e","10659","0","0","n/e","n/e","n/e","0","","292","n/e","n/e","5941","145","n/e","0","n/e","2316","2551"
"BZN|GB","03.01.2021 00:30 - 03.01.2021 01:00 (UTC)","2353","n/e","n/e","10237","0","0","n/e","n/e","n/e","0","","293","n/e","n/e","5921","164","n/e","0","n/e","2279","2623"
"BZN|GB","03.01.2021 01:00 - 03.01.2021 01:30 (UTC)","2363","n/e","n/e","10426","0","0","n/e","n/e","n/e","0","","277","n/e","n/e","5935","156","n/e","0","n/e","2334","2580"
"BZN|GB","03.01.2021 01:30 - 03.01.2021 02:00 (UTC)","2366","n/e","n/e","9675","0","0","n/e","n/e","n/e","0","","277","n/e","n/e","5924","163","n/e","0","n/e","2309","2631"
"BZN|GB","03.01.2021 02:00 - 03.01.2021 02:30 (UTC)","2371","n/e","n/e","8935","0","0","n/e","n/e","n/e","0","","274","n/e","n/e","5929","164","n/e","0","n/e","2403","2603"
"BZN|GB","03.01.2021 02:30 - 03.01.2021 03:00 (UTC)","2367","n/e","n/e","8605","0","0","n/e","n/e","n/e","0","","271","n/e","n/e","5937","164","n/e","0","n/e","2300","2554"
"BZN|GB","03.01.2021 03:00 - 03.01.2021 03:30 (UTC)","2369","n/e","n/e","8487","0","0","n/e","n/e","n/e","0","","271","n/e","n/e","5927","185","n/e","0","n/e","2468","2533"
"BZN|GB","03.01.2021 03:30 - 03.01.2021 04:00 (UTC)","2368","n/e","n/e","7472","0","0","n/e","n/e","n/e","0","","256","n/e","n/e","5941","165","n/e","0","n/e","2933","2512"
"BZN|GB","03.01.2021 04:00 - 03.01.2021 04:30 (UTC)","2391","n/e","n/e","8011","0","0","n/e","n/e","n/e","0","","270","n/e","n/e","5933","165","n/e","0","n/e","2882","2541"
"BZN|GB","03.01.2021 04:30 - 03.01.2021 05:00 (UTC)","2394","n/e","n/e","7544","0","0","n/e","n/e","n/e","0","","270","n/e","n/e","5934","171","n/e","0","n/e","3061","2538"
"BZN|GB","03.01.2021 05:00 - 03.01.2021 05:30 (UTC)","2394","n/e","n/e","8104","0","0","n/e","n/e","n/e","0","","291","n/e","n/e","5928","168","n/e","0","n/e","2825","2351"
"BZN|GB","03.01.2021 05:30 - 03.01.2021 06:00 (UTC)","2391","n/e","n/e","8260","0","0","n/e","n/e","n/e","0","","307","n/e","n/e","5933","166","n/e","0","n/e","2926","2256"
"BZN|GB","03.01.2021 06:00 - 03.01.2021 06:30 (UTC)","2394","n/e","n/e","8394","0","0","n/e","n/e","n/e","0","","328","n/e","n/e","5927","165","n/e","0","n/e","2988","2355"
"BZN|GB","03.01.2021 06:30 - 03.01.2021 07:00 (UTC)","2391","n/e","n/e","8373","0","0","n/e","n/e","n/e","0","","327","n/e","n/e","5919","186","n/e","0","n/e","3135","2391"
"BZN|GB","03.01.2021 07:00 - 03.01.2021 07:30 (UTC)","2419","n/e","n/e","9099","21","0","n/e","n/e","n/e","0","","328","n/e","n/e","5917","169","n/e","0","n/e","3025","2337"
"BZN|GB","03.01.2021 07:30 - 03.01.2021 08:00 (UTC)","2452","n/e","n/e","9467","230","0","n/e","n/e","n/e","0","","327","n/e","n/e","5924","165","n/e","0","n/e","3216","2430"
